Venue Name,Purchase ID,Dynamic Time Delivered,Order Number,Rating of Goods,Goods Items Full Amount,Customer Feedback
METRO Express Mouttagiaka,6a43dc56ee732f51cf20dcf7,2026-06-30 20:00:00,672,,20.08,
METRO Express Mouttagiaka,6a43d8851717efc99e23471f,2026-06-30 20:00:00,668,,23.25,
METRO Express Larnaca,6a429ac4cb1e15e1332f869a,2026-06-30 19:00:00,618,,85.38,
METRO Express Mouttagiaka,6a43d2192b05f714dd8c80ab,2026-06-30 19:00:00,658,,22.25,
METRO Express Platy,6a43fafc0815c5c1bf8ada1d,2026-06-30 18:32:00,876,,75.35,
METRO Express Platy,6a43f956316e8d163ce36770,2026-06-30 18:29:00,875,,39.06,
METRO Express Aglantzia,6a43e949fa0fd1c656a20aa4,2026-06-30 18:26:00,210,,147.2,
METRO Express Platy,6a43f8f05121dc220a829dfd,2026-06-30 18:09:00,874,,30.23,
METRO Express Platy,6a43f7e7f222eb50ca442601,2026-06-30 18:02:00,873,,34.09,
METRO Express Mouttagiaka,6a43cc225b7c7b3e30628b86,2026-06-30 18:00:00,650,,18.18,
METRO Express Mouttagiaka,6a43cd0d743ee152b78c140e,2026-06-30 18:00:00,651,,23.22,
METRO Express Mouttagiaka,6a43eee9a8344f35f0b96f37,2026-06-30 17:59:00,690,,29.88,
METRO Express Mouttagiaka,6a43ec2ddc85a61ee1ecef13,2026-06-30 17:56:00,686,,80.96,
METRO Express Mouttagiaka,6a43ee2dc84048061ebae611,2026-06-30 17:52:00,689,,37.95,
METRO Express Platy,6a43f670e15e7709f0a14124,2026-06-30 17:44:00,872,,54.37,
METRO Express Paralimni,6a43ef5aff8f6ddddab43f55,2026-06-30 17:43:00,365,4,74.41,
METRO Express Agias Fylaxeos,6a43f0946feb527f3f7e6d4a,2026-06-30 17:38:00,563,,20,
METRO Express Platy,6a43f5b1a56330c7a09054c5,2026-06-30 17:35:00,871,,27.38,
METRO Express Mouttagiaka,6a43ebd517378d62ab5d4f0c,2026-06-30 17:34:00,685,,36.58,
METRO Express Agias Fylaxeos,6a43f4613b56be07b59975a3,2026-06-30 17:34:00,568,,70.5,
METRO Express Paralimni,6a43f0aa405f13ef4d5ca1c2,2026-06-30 17:32:00,367,,133.96,
METRO Express Strovolos,6a43f11af3a3811821ead3c5,2026-06-30 17:32:00,216,,48.18,
METRO Express Agias Fylaxeos,6a43f5c6792a5a305b3b5ab6,2026-06-30 17:30:00,569,,39.3,
METRO Express Larnaca,6a43e4b6ce17ab4c867ed497,2026-06-30 17:30:00,816,,195.6,
METRO Express Mouttagiaka,6a43eb35265d489f72f04bcb,2026-06-30 17:30:00,683,,21.18,
METRO Express Agias Fylaxeos,6a43f2314e1d2666dedcd0bc,2026-06-30 17:30:00,565,,36.27,
METRO Express Strovolos,6a43f4eaab83dfc89485c878,2026-06-30 17:30:00,217,3,49.45,
METRO Express Strovolos,6a43f4eaab83dfc89485c878,2026-06-30 17:30:00,217,,49.45,
METRO Express Mouttagiaka,6a43dd8b09ee61a7df721613,2026-06-30 17:29:00,674,,109.8,
METRO Express Agias Fylaxeos,6a43f4059e15da593cd89a05,2026-06-30 17:28:00,566,4,20.55,
METRO Express Mouttagiaka,6a43ef69619b3a04d34ea3d3,2026-06-30 17:28:00,692,,37.05,
METRO Express Strovolos,6a43ed2a79daa1a10573b259,2026-06-30 17:28:00,211,4,66.21,
METRO Express Mouttagiaka,6a43ee0f210e2348150b1469,2026-06-30 17:27:00,688,,21.8,
METRO Express Paralimni,6a43ee2ad175a573223ee039,2026-06-30 17:27:00,363,,63.21,
METRO Express Larnaca,6a43e3fdfc95762ad804d137,2026-06-30 17:27:00,815,,67.41,
METRO Express Agias Fylaxeos,6a43efff8a7990bfebc4e547,2026-06-30 17:26:00,562,,70.15,
METRO Express Strovolos,6a43eda39e5977e9fea81ce7,2026-06-30 17:26:00,212,,63.9,
METRO Express Agias Fylaxeos,6a43f0ad69d74a3cd34b3c9a,2026-06-30 17:26:00,564,,32.98,
METRO Express Strovolos,6a43f057849a78d60cc2a5ba,2026-06-30 17:26:00,215,,25.65,
METRO Express Strovolos,6a43edd90a3c07c92549f044,2026-06-30 17:25:00,214,,35.81,
METRO Express Aglantzia,6a43f1aec481832f5bf3528d,2026-06-30 17:24:00,213,,21.59,
METRO Express Agias Fylaxeos,6a43ef3294e36304bd49d508,2026-06-30 17:24:00,560,,39.18,
METRO Express Aglantzia,6a43ed62005d09ad9b9f6f5d,2026-06-30 17:20:00,212,3,54.9,
